"filename", "language", "JavaScript", "JSON", "XML", "Markdown", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\MoonLight\ElectroHub\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\MoonLight\ElectroHub\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\MoonLight\ElectroHub\index.html", "HTML", 0, 0, 0, 0, 0, 0, 31, 1, 2, 34
"c:\MoonLight\ElectroHub\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\MoonLight\ElectroHub\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\MoonLight\ElectroHub\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\MoonLight\ElectroHub\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 1, 2, 10
"c:\MoonLight\ElectroHub\src\components\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 1, 7, 63
"c:\MoonLight\ElectroHub\src\components\CardContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 5, 62
"c:\MoonLight\ElectroHub\src\components\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 4, 56
"c:\MoonLight\ElectroHub\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 8, 143
"c:\MoonLight\ElectroHub\src\components\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 10, 124
"c:\MoonLight\ElectroHub\src\components\Nav.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 2, 5, 35
"c:\MoonLight\ElectroHub\src\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\MoonLight\ElectroHub\src\index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\MoonLight\ElectroHub\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\MoonLight\ElectroHub\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\MoonLight\ElectroHub\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\MoonLight\ElectroHub\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\MoonLight\ElectroHub\tailwind.config.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 1, 1, 32
"c:\MoonLight\ElectroHub\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 78, 35, 1, 5, 507, 3, 31, 7, 72, 739